Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,
,,,1st Quarter1,1st Quarter1,1st Quarter1,1st Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,2nd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,3rd Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,4th Quarter1,Fiscal Year 2014 To-Date,Fiscal Year 2014 To-Date
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3
,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,,"1,335,877","1,342,757","138,059","2,805,400","1,494,153","1,239,622","143,743","2,958,811","1,840,828","1,418,961","145,966","3,299,724","1,714,178","1,598,930","165,453","3,274,465","6,384,648","5,600,270"
,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,
Family Based,I-129F,Fiancée Petitions,"11,155","14,245","3,183","13,845","12,787","8,920","3,302","16,430","12,856","9,175","1,524","20,111","11,596","11,223","1,749","19,551","48,394","43,563"
Family Based,I-130,Immediate and Preference Relatives,"197,615","191,290","16,712","896,890","189,403","238,810","19,510","840,102","214,709","210,126","19,363","830,809","186,906","206,307","21,158","797,888","788,633","846,533"
Family Based,I-485,Family-Based Adjustments,"68,185","60,728","6,947","155,930","65,473","62,154","8,056","154,401","74,816","63,141","8,674","161,125","71,816","62,827","8,427","165,913","280,290","248,850"
Family Based,I-600/600A,Orphan Petitions,"2,101","1,939",132,970,"2,193","1,820",126,"1,200","1,861","1,799",184,"1,075","1,588","1,362",176,"1,108","7,743","6,920"
Family Based,I-601A,Provisional Unlawful Presence Waivers,"8,123","4,641","1,805","14,071","7,270","4,123","2,372","15,132","10,681","6,430","2,274","17,544","11,518","12,239","4,766","12,214","37,592","27,433"
Family Based,I-751,Remove Conditions on Residence,"41,807","43,876","2,638","81,444","49,602","35,878","2,719","98,413","45,140","42,223","2,263","97,779","41,810","33,006","1,892","104,883","178,359","154,983"
Family Based,I-800/800A,Convention Country Adoptions,"1,945","2,047",66,756,"1,949","1,953",57,669,"2,087","2,096",42,634,"2,050","2,065",54,595,"8,031","8,161"
Employment Based,,,,,,,,,,,,,,,,,,,,
Employment Based,I-129,Nonimmigrant Worker Petitions,"68,611","91,134","20,783","56,537","72,165","88,016","21,820","36,064","192,114","126,262","21,252","97,896","100,097","129,627","24,810","60,689","432,987","435,039"
